code,name,sina,date,close,mom120_5_action,mom120_5_pos,mom120_pct,dc30_10_action,dc30_10_pos,dc30_hi,dc30_lo,hi60_action,hi60_pos,vote_hold,consensus,next_open_action,next_open_brief
159511,通信ETF南方,sz159511,2026-06-17,2.804,持有,1,55.95,持有,1,2.789,2.598,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159583,通信ETF富国,sz159583,2026-06-17,2.053,持有,1,69.53,持有,1,2.027,1.859,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159687,亚太精选ETF南方,sz159687,2026-06-17,2.043,持有,1,32.32,买入,1,2.028,1.806,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159695,通信ETF嘉实,sz159695,2026-06-17,3.622,持有,1,71.01,持有,1,3.587,3.29,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159703,新材料ETF天弘,sz159703,2026-06-17,1.059,持有,1,33.04,买入,1,1.037,0.917,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159743,湖北ETF博时,sz159743,2026-06-17,1.617,持有,1,41.59,买入,1,1.616,1.509,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159763,新材料ETF建信,sz159763,2026-06-17,0.853,持有,1,34.12,买入,1,0.835,0.739,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159811,5GETF博时,sz159811,2026-06-17,3.744,持有,1,74.22,持有,1,3.639,3.352,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159906,深成长ETF大成,sz159906,2026-06-17,2.127,持有,1,52.15,买入,1,2.067,1.896,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159967,创业板成长ETF华夏,sz159967,2026-06-17,1.013,持有,1,62.34,买入,1,0.981,0.892,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
563210,专精特新ETF富国,sh563210,2026-06-17,2.378,持有,1,64.68,买入,1,2.306,2.033,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
588120,科创100ETF国泰,sh588120,2026-06-17,2.01,持有,1,53.91,买入,1,1.948,1.748,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
588190,科创100ETF银华,sh588190,2026-06-17,1.976,持有,1,52.94,买入,1,1.915,1.723,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
588500,科创100增强ETF易方达,sh588500,2026-06-17,2.955,持有,1,57.35,买入,1,2.878,2.568,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
588680,科创100增强ETF广发,sh588680,2026-06-17,2.779,持有,1,45.88,买入,1,2.691,2.435,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
588900,科创100ETF南方,sh588900,2026-06-17,2.03,持有,1,55.2,买入,1,1.97,1.765,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
588980,科创100ETF广发,sh588980,2026-06-17,1.802,持有,1,52.71,买入,1,1.748,1.565,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
589980,科创100ETF汇添富,sh589980,2026-06-17,2.048,持有,1,54.1,买入,1,1.983,1.778,买入,1,3,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=3）
159994,通信ETF银华,sz159994,2026-06-17,1.628,空仓,0,-7.18,持有,1,1.583,1.446,买入,1,2,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=2）
515880,通信ETF国泰,sh515880,2026-06-17,1.758,空仓,0,-39.46,持有,1,1.729,1.584,买入,1,2,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=2）
560000,智能电车ETF浦银,sh560000,2026-04-30,0.939,空仓,0,3.76,持有,1,0.939,0.904,买入,1,2,买入,开盘买入,次日开盘：开盘买入（共识买入，vote=2）
