code,name,sina,date,close,mom120_5_action,mom120_5_pos,mom120_pct,dc30_10_action,dc30_10_pos,dc30_hi,dc30_lo,hi60_action,hi60_pos,vote_hold,consensus,next_open_action,next_open_brief
159915,创业板ETF易方达,sz159915,2026-05-28,4.138,持有,1,39.75,持有,1,4.056,3.846,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159375,创业板50ETF国泰,sz159375,2026-05-28,2.236,持有,1,43.33,持有,1,2.189,2.057,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159952,创业板ETF广发,sz159952,2026-05-28,2.512,持有,1,39.09,持有,1,2.463,2.332,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159371,创业板50ETF富国,sz159371,2026-05-28,2.102,持有,1,43.19,持有,1,2.053,1.93,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159682,创业板50ETF景顺,sz159682,2026-05-28,1.949,持有,1,42.57,持有,1,1.904,1.789,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159948,创业板ETF南方,sz159948,2026-05-28,4.57,持有,1,38.95,持有,1,4.492,4.248,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159383,创业板50ETF华泰柏瑞,sz159383,2026-05-28,2.083,持有,1,42.57,持有,1,2.039,1.913,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159977,创业板ETF天弘,sz159977,2026-05-28,2.15,持有,1,38.89,持有,1,2.117,2.005,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159370,创50ETF工银,sz159370,2026-05-28,2.221,持有,1,43.11,持有,1,2.174,2.044,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159681,创业板50ETF鹏华,sz159681,2026-05-28,1.968,持有,1,42.3,持有,1,1.925,1.809,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159949,创业板50ETF华安,sz159949,2026-05-28,2.003,持有,1,42.36,持有,1,1.962,1.84,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159908,创业板ETF博时,sz159908,2026-05-28,3.84,持有,1,38.88,持有,1,3.769,3.577,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159773,创业板科技ETF华泰柏瑞,sz159773,2026-05-28,1.562,持有,1,41.49,持有,1,1.528,1.43,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159367,创业板50ETF华夏,sz159367,2026-05-28,2.112,持有,1,45.15,持有,1,2.066,1.943,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159777,创科技ETF国联安,sz159777,2026-05-28,1.463,持有,1,40.94,持有,1,1.436,1.343,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159991,创业板大盘ETF招商,sz159991,2026-05-28,0.993,持有,1,42.47,持有,1,0.971,0.899,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159814,创业大盘ETF西部利得,sz159814,2026-05-28,0.874,持有,1,43.04,持有,1,0.852,0.788,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159372,创业板50ETF万家,sz159372,2026-05-28,2.236,持有,1,43.98,持有,1,2.19,2.043,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159373,创业板50ETF嘉实,sz159373,2026-05-28,2.146,持有,1,43.07,持有,1,2.099,1.972,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159205,创业板ETF东财,sz159205,2026-05-28,2.021,持有,1,39.28,持有,1,1.984,1.88,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159810,创业板ETF浦银,sz159810,2026-05-28,1.663,持有,1,38.7,持有,1,1.632,1.543,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
560650,核心50ETF民生加银,sh560650,2026-05-28,1.11,持有,1,11.56,持有,1,1.112,1.062,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
159957,创业板ETF华夏,sz159957,2026-05-28,2.719,持有,1,39.29,持有,1,2.675,2.526,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
561500,漂亮50ETF华泰柏瑞,sh561500,2026-05-28,0.87,持有,1,11.4,持有,1,0.868,0.831,持有,1,3,持有,开盘持有,次日开盘：开盘持有（共识持有，vote=3）
