code,name,sina,date,close,mom120_5_action,mom120_5_pos,mom120_pct,dc30_10_action,dc30_10_pos,dc30_hi,dc30_lo,hi60_action,hi60_pos,vote_hold,consensus,next_open_action,next_open_brief
159003,招商快线ETF,sz159003,2026-06-30,99.999,空仓,0,-0.0,卖出,0,100.002,99.999,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
159618,光伏ETF华安,sz159618,2026-06-30,0.825,卖出,0,7.56,空仓,0,0.892,0.788,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
159679,中证1000增强ETF国泰,sz159679,2026-06-30,1.346,卖出,0,5.57,空仓,0,1.41,1.297,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
159697,石油ETF鹏华,sz159697,2026-06-30,1.191,卖出,0,2.94,空仓,0,1.427,1.206,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
159738,云计算ETF华泰柏瑞,sz159738,2026-06-30,2.109,卖出,0,10.02,空仓,0,2.215,2.005,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
159864,光伏ETF国泰,sz159864,2026-06-30,0.683,卖出,0,8.24,空仓,0,0.739,0.653,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
159980,有色ETF大成,sz159980,2026-06-30,2.056,卖出,0,4.68,空仓,0,2.195,2.028,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
515790,光伏ETF华泰柏瑞,sh515790,2026-06-30,1.042,卖出,0,7.42,空仓,0,1.128,0.998,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
516290,光伏ETF汇添富,sh516290,2026-06-30,0.646,卖出,0,7.13,空仓,0,0.7,0.619,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
517390,云计算ETF天弘,sh517390,2026-06-30,1.986,卖出,0,9.97,空仓,0,2.085,1.894,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
563280,A50增强ETF富国,sh563280,2026-06-30,1.477,卖出,0,5.88,卖出,0,1.521,1.44,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
588960,科创新能源ETF富国,sh588960,2026-06-30,1.474,卖出,0,9.51,空仓,0,1.598,1.375,空仓,0,0,卖出,开盘卖出,次日开盘：开盘卖出（共识卖出，vote=0）
